Scenario,SimName,SimMonth,HaddockMin,HaddockMax,HaddockBag,CodMin,CodMax,CodBag,ClosedBehavior
3,Haddock15A,1,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,2,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,3,99,100,15,98,100,5,alwaysonboth
3,Haddock15A,4,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,5,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,6,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,7,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,8,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,9,17,100,15,22,100,1,alwaysonboth
3,Haddock15A,10,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,11,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,12,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,13,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,14,17,100,15,98,100,5,alwaysonboth
3,Haddock15A,15,99,100,15,98,100,5,alwaysonboth
3,Haddock15A,16,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,1,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,2,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,3,99,100,15,98,100,5,alwaysonboth
4,Haddock15B,4,17,100,15,22,100,1,alwaysonboth
4,Haddock15B,5,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,6,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,7,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,8,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,9,17,100,15,22,100,1,alwaysonboth
4,Haddock15B,10,17,100,15,22,100,1,alwaysonboth
4,Haddock15B,11,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,12,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,13,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,14,17,100,15,98,100,5,alwaysonboth
4,Haddock15B,15,99,100,15,98,100,5,alwaysonboth
4,Haddock15B,16,17,100,15,22,100,1,alwaysonboth
6,Haddock12A,1,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,2,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,3,99,100,12,98,100,5,alwaysonboth
6,Haddock12A,4,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,5,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,6,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,7,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,8,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,9,17,100,12,22,100,1,alwaysonboth
6,Haddock12A,10,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,11,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,12,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,13,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,14,17,100,12,98,100,5,alwaysonboth
6,Haddock12A,15,99,100,12,98,100,5,alwaysonboth
6,Haddock12A,16,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,1,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,2,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,3,99,100,12,98,100,5,alwaysonboth
7,Haddock12B,4,17,100,12,22,100,1,alwaysonboth
7,Haddock12B,5,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,6,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,7,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,8,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,9,17,100,12,22,100,1,alwaysonboth
7,Haddock12B,10,17,100,12,22,100,1,alwaysonboth
7,Haddock12B,11,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,12,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,13,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,14,17,100,12,98,100,5,alwaysonboth
7,Haddock12B,15,99,100,12,98,100,5,alwaysonboth
7,Haddock12B,16,17,100,12,22,100,1,alwaysonboth
9,Haddock10A,1,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,2,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,3,99,100,10,98,100,5,alwaysonboth
9,Haddock10A,4,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,5,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,6,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,7,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,8,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,9,17,100,10,22,100,1,alwaysonboth
9,Haddock10A,10,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,11,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,12,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,13,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,14,17,100,10,98,100,5,alwaysonboth
9,Haddock10A,15,99,100,10,98,100,5,alwaysonboth
9,Haddock10A,16,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,1,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,2,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,3,99,100,10,98,100,5,alwaysonboth
10,Haddock10B,4,17,100,10,22,100,1,alwaysonboth
10,Haddock10B,5,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,6,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,7,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,8,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,9,17,100,10,22,100,1,alwaysonboth
10,Haddock10B,10,17,100,10,22,100,1,alwaysonboth
10,Haddock10B,11,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,12,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,13,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,14,17,100,10,98,100,5,alwaysonboth
10,Haddock10B,15,99,100,10,98,100,5,alwaysonboth
10,Haddock10B,16,17,100,10,22,100,1,alwaysonboth
